,vocab
0,cholera
1,daily
2,situation
3,report
4,november
5,additional
6,suspect
7,case
8,reported
9,death
10,alert
11,epidemiological
12,total
13,number
14,stand
15,CFR
16,corridor
17,LGA
18,monguno
19,respectively
20,new
21,today
22,cumulative
23,sample
24,test
25,use
26,positive
27,culture
28,people
29,affect
30,person
31,miss
32,wound
33,displace
34,house
35,destroy
36,roof
37,tear
38,completely
39,flood
40,town
41,violent
42,clash
43,inter
44,communal
45,tension
46,increase
47,result
48,widespread
49,disruption
50,agricultural
51,marketing
52,activity
53,exacerbate
54,massive
55,displacement
56,severe
57,negative
58,impact
59,food
60,availability
61,access
62,kill
63,child
64,injure
65,follow
66,heavy
67,rain
68,household
69,leave
70,homeless
71,public
72,infrastructure
73,worth
74,million
75,crop
76,damage
77,flash
78,experience
79,village
80,district
81,march
82,accord
83,record
84,exceed
85,monthly
86,average
87,rainfall
88,february
89,vehicle
90,road
91,school
92,health
93,centre
94,summer
95,rapid
96,assessment
97,undertake
98,disaster
99,management
100,animal
101,gunman
102,attack
103,civilian
104,home
105,member
106,single
107,family
108,include
109,woman
110,eastern
111,province
112,official
113,monday
114,bomb
115,field
116,visit
117,reveal
118,farm
119,water
120,reach
121,high
122,level
123,building
124,community
125,continue
126,remain
127,basic
128,face
129,similar
130,challenge
131,treat
132,patient
133,month
134,capacity
135,clinic
136,explain
137,dozen
138,provide
139,wait
140,consultation
141,condition
142,lack
143,safe
144,drinking
145,sanitation
146,facility
147,service
148,informal
149,settlement
150,reinforce
151,mobile
152,team
153,overall
154,largely
155,insufficient
156,west
157,bank
158,israeli
159,authority
160,demolish
161,palestinian
162,structure
163,ground
164,permit
165,nearly
166,palestinians
167,east
168,jerusalem
169,area
170,livelihood
171,refugee
172,income
173,generation
174,opportunity
175,inside
176,outside
177,camp
178,dependent
179,ration
180,small
181,ie
182,exist
183,beneficiary
184,market
185,sell
186,good
187,restrict
188,movement
189,import
190,export
191,far
192,difficult
193,engage
194,business
195,trade
196,cash
197,provision
198,start
199,work
200,low
201,mean
202,cultivation
203,farming
204,land
205,involve
206,agriculture
207,come
208,term
209,host
210,refugees
211,livestock
212,production
213,limited
214,pregnant
215,die
216,government
217,resident
218,item
219,urgently
220,need
221,quantity
222,supply
223,aid
224,kit
225,emergency
226,clean
227,pump
228,liter
229,blanket
230,tent
231,heating
232,system
233,gas
234,sleep
235,bag
236,life
237,dry
238,fruit
239,baby
240,milk
241,nutrition
242,survey
243,conduct
244,global
245,acute
246,malnutrition
247,prevalence
248,percent
249,displaced
250,critical
251,internally
252,IDP
253,mogadishu
254,baidoa
255,indicate
256,humanitarian
257,crisis
258,challenging
259,context
260,unable
261,establish
262,insecurity
263,concern
264,flooding
265,landslide
266,particularly
267,subsistence
268,relate
269,august
270,current
271,rainy
272,season
273,hectare
274,lose
275,scale
276,labour
277,great
278,proportion
279,earn
280,require
281,purchase
282,cent
283,coverage
284,add
285,figure
286,year
287,president
288,pakistan
289,municipality
290,serve
291,temporary
292,shelter
293,villager
294,reservoir
295,little
296,sign
297,upper
298,diphtheria
299,count
300,week
301,previous
302,fatality
303,laboratory
304,confirm
305,bring
306,probable
307,rent
308,common
309,expense
310,spend
311,account
312,assistance
313,debt
314,educational
315,measle
316,vaccination
317,large
318,risk
319,outbreak
320,help
321,taliban
322,militant
323,push
324,control
325,order
326,provincial
327,capital
328,agency
329,police
330,chief
331,tell
332,physical
333,site
334,major
335,wash
336,response
337,support
338,military
339,construction
340,link
341,influx
342,receive
343,latrine
344,treatment
345,priority
346,WASH
347,sector
348,partner
349,specific
350,issue
351,turkish
352,northern
353,syria
354,clear
355,km
356,zone
357,press
358,ISIL
359,self
360,declare
361,country
362,raqqa
363,prior
364,live
365,register
366,undocumented
367,rohingya
368,population
369,bangladesh
370,flee
371,operation
372,rakhine
373,state
374,october
375,learning
376,county
377,multi
378,security
379,ongoing
380,nation
381,primary
382,closed
383,sub
384,open
385,pose
386,al
387,shabaab
388,affected
389,pupil
390,force
391,parent
392,shut
393,beginning
394,second
395,teacher
396,allege
397,direct
398,threat
399,education
400,disrupt
401,numerous
402,time
403,frequent
404,despite
405,harsh
406,winter
407,weather
408,sea
409,migrant
410,journey
411,rescue
412,coast
413,guard
414,equipment
415,main
416,factor
417,rate
418,cause
419,stock
420,price
421,illness
422,diarrhea
423,disease
424,programme
425,poor
426,feeding
427,practice
428,hygiene
429,pre
430,poverty
431,shock
432,aggravate
433,deterioration
434,worsen
435,worker
436,respond
437,warn
438,fuel
439,run
440,hospital
441,generator
442,vaccine
443,consequence
444,intense
445,occur
446,mainly
447,north
448,date
449,severely
450,previously
451,cope
452,region
453,bad
454,drought
455,hard
456,hit
457,away
458,complete
459,find
460,kurdish
461,lead
462,administration
463,bread
464,favorable
465,near
466,harvest
467,expect
468,southern
469,central
470,begin
471,localized
472,seed
473,border
474,south
475,sudan
476,territory
477,urge
478,relocation
479,continuous
480,snow
481,fall
482,break
483,th
484,january
485,demand
486,difficulty
487,electricity
488,attribute
489,general
490,power
491,KIs
492,cite
493,conflict
494,moderate
495,dr
496,mosquito
497,breeding
498,environment
499,concerned
500,stop
501,malaria
502,explosion
503,northwestern
504,saturday
505,toll
506,likely
507,rise
508,protection
509,safety
510,UN
511,estimate
512,mosul
513,anbar
514,end
515,may
516,note
517,sorghum
518,september
519,consume
520,local
521,cereal
522,usually
523,normal
524,fail
525,sufficient
526,trend
527,approach
528,early
529,lean
530,rice
531,source
532,WFP
533,cross
534,slow
535,sharply
536,mitigate
537,deficit
538,class
